WF_Time,TF-IDF Time,TR- Time,WFI_Time,WF_Precision,TF-IDF Precision,TR- Precision,WFI_Precision,WF_Recal,TF-IDF Recal,TR- Recal,WFI_Recal,WF_F-Measure,TF-IDF F-Measure,TR- F-Measure,WFI_F-Measure
0.0015377,0.0085719,0.0038267,0.0016209,0.247311828,0.279569892,0.731182796,0.258064516,0.821428571,0.866666667,0.257575758,0.571428571,0.380165289,0.422764228,0.380952381,0.355555556
0.0008246,0.0043564,0.0020672,0.0009064,0,0.462962963,0.907407407,0,0,0.925925926,0.326666667,0,0,0.617283951,0.480392157,0
0.0025144,0.0124457,0.0054875,0.0027685,0.007692308,0.007692308,0.6,0.007692308,0.04,0.047619048,0.288888889,0.024390244,0.012903226,0.013245033,0.39,0.011695906
0.0036844,0.0117802,0.0049747,0.0026096,0.028985507,0.115942029,0.623188406,0.18115942,0.137931034,0.695652174,0.311594203,0.78125,0.047904192,0.198757764,0.415458937,0.294117647
0.0021783,0.0116617,0.0051284,0.0022073,0.254237288,0.042372881,0.93220339,0.008474576,0.9375,0.066666667,0.361842105,0.025641026,0.4,0.051813472,0.521327014,0.012738854
0.0017182,0.0093863,0.004165,0.0018342,0.28125,0,0.927083333,0.1875,0.964285714,0,0.294701987,0.486486486,0.435483871,0,0.447236181,0.270676692
0.0044973,0.015524,0.0065151,0.0044878,0.076923077,0,0.923076923,0.923076923,0.066666667,0,0.089552239,0.8,0.071428571,0,0.163265306,0.857142857
0.0011805,0.0067368,0.0028784,0.0011412,0.96,0,0.92,0.12,0.96,0,0.121693122,0.088235294,0.96,0,0.214953271,0.101694915
0.0062706,0.0207962,0.0085508,0.0056799,0,0,0.171428571,0,0,0,0.023255814,0,0,0,0.040955631,0
0.0044701,0.0176338,0.0060592,0.0045226,0,0,0,0,0,0,0,0,0,0,0,0
0.003457,0.0143172,0.00595,0.0034936,0.962962963,0.148148148,0.037037037,0,0.962962963,0.090909091,0.003690037,0,0.962962963,0.112676056,0.006711409,0
0.0027986,0.0139173,0.0049512,0.0028102,0.03030303,0.03030303,0.181818182,0.121212121,0.032258065,0.006711409,0.016260163,0.121212121,0.03125,0.010989011,0.029850746,0.121212121
0.0024074,0.0135865,0.0067979,0.0025145,0,0.352941176,0.882352941,0.568627451,0,0.160714286,0.169811321,0.90625,0,0.220858896,0.284810127,0.698795181
0.0131192,0.0445193,0.0388249,0.012608,0,0.075471698,0.490566038,0.018867925,0,0.012307692,0.097378277,0.026315789,0,0.021164021,0.1625,0.021978022
